Source;Compte;Date;Date de valeur;Débit;Crédit;Libellé;Solde;catégorie
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;23/10/2024;23/10/2024;0;300;VIR INST M OU MME LEOPAUL VOGT;300;X
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;25/10/2024;25/10/2024;-10;0;VIR Versement Initial;290;X
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;31/10/2024;31/10/2024;0;2000;VIR M OU MME LEOPAUL VOGT;2290;X
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;31/10/2024;31/10/2024;0;10;VIR Virement avec Fortuneo Compt;2300;X
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;31/10/2024;31/10/2024;-2000;0;VIR Virement avec Fortuneo Livre;300;X
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;01/11/2024;01/11/2024;-35.61;0;CARTE 31/10 E.LECLERC BLOTZHEIM;264.3900000000001;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;01/11/2024;01/11/2024;0;120;PRIME PARRAINAGE FILLEUL;384.3900000000001;B
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;04/11/2024;04/11/2024;-11.88;0;CARTE 02/11 LE MARCHE PAYSAN LONS LE SAUNIE;372.5100000000002;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;04/11/2024;04/11/2024;-15.1;0;CARTE 03/11 LA MIE'STERIEUSE LONS LE SAUNIE;357.4100000000003;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;11/11/2024;11/11/2024;-10.4;0;CARTE 09/11 BOULANG WELTER BLOTZHEIM;347.0100000000002;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;11/11/2024;11/11/2024;-35.9;0;CARTE 08/11 E.LECLERC ST LOUIS;311.1100000000001;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;16/11/2024;16/11/2024;-7.13;0;CARTE 15/11 PHARMACIE ST JO BLOTZHEIM;303.98;F
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;18/11/2024;18/11/2024;-2.4;0;CARTE 16/11 HORODATEURS 68 MULHOUSE;301.5799999999999;T
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;18/11/2024;18/11/2024;-17;0;CARTE 16/11 SumUp  *Associat Marseille;284.5799999999999;R
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;18/11/2024;18/11/2024;-11.05;0;CARTE 16/11 BOULANG WELTER BLOTZHEIM;273.52999999999975;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;18/11/2024;18/11/2024;-31.78;0;CARTE 16/11 SATORIZ BLOTZHEI BLOTZHEIM;241.74999999999955;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;20/11/2024;20/11/2024;-16.5;0;CARTE 19/11 BOULANG WELTER BLOTZHEIM;225.24999999999955;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;20/11/2024;20/11/2024;-54.62;0;CARTE 19/11 SATORIZ BLOTZHEI BLOTZHEIM;170.62999999999965;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;20/11/2024;20/11/2024;-29.04;0;CARTE 19/11 INTERMARCHE BARTENHEIM;141.5899999999997;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;21/11/2024;21/11/2024;-5.02;0;CARTE 20/11 PHARMACIE ST JO BLOTZHEIM;136.5699999999997;F
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;25/11/2024;25/11/2024;-10.7;0;CARTE 24/11 BOULANG WELTER BLOTZHEIM;125.86999999999989;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;25/11/2024;25/11/2024;-22.39;0;CARTE 23/11 E.LECLERC BLOTZHEIM;103.48000000000002;A
FOR_01.10.2024_31.12.2024.csv;Fortuneo CC;27/11/2024;27/11/2024;0;11273.85;VIR M OU MME LEOPAUL VOGT;11377.33;X
